Name,Tier,Class,Type,EXP Cost,Steam Cost,Aether Cost,Prerequisites,Multi Purchase,Description
Barrow of Shadowbind,Journeyman,CRAFTING AND LABOR,Talents,7,,,Baptized to Zigaen,,"Spend 5 Aggravated Aether and 10 minutes RPing with 2 targets (1 can be yourself). One target is bound to the other, becoming their shadow. The shadow is Ethereal and is under a Greater Invisibility effect and must remain within 5 feet of the host. While Ethereal, the shadow may spend 1 pool per minute to become incorporeal as per normal rules, and while incorporeal they may spend 2 pool per action to maintain the invisibility. This is not dispelled in any amount of light. The shadow and its host can speak telepathically. Additionally, the spot where the ritual was done is marked with the host’s real shadow, creating a point where host and shadow can teleport to, by stating “invoke Shadow Gate.” Once the teleportation is used, the ritual ends. Without teleporting, this ritual will end if the shadow becomes corporeal. Otherwise, this ritual can last for up to 3 hours and can be ended at will."
Barrow of Sombrae’s Masque,Journeyman,CRAFTING AND LABOR,Talents,7,,,Baptized to Oksani,,Spend 10 minutes Rping with a group of targets and 2 components of any type for everyone involved. Each participant rolls a 6-sided dice. These numbers are added up to count as both the ability modifier on the Masque and the ability detriment for the wearer. The numbers the participants roll equal how many abilities they can place into the Masque. Abilities that are inscribed cannot be used by the person who donated it. That means anything that is placed into Sombrae’s Masque is unavailable to the original owner who donated the abilities for the duration of the ritual. The participant meant to be bound to the Masque does not need to inscribe abilities into the mask nor does it need to be the caster of this ritual. The target chosen to be bound to the Masque will take the ability modifier (AKA: number of abilities in the masque) and choose x number of their own powers and abilities that will be unavailable for the duration of the ritual. Although the bounded cannot use x number of abilities they Click For Table of Contents
Barrow of the Maelstrom,Journeyman,CRAFTING AND LABOR,Talents,7,,,"Baptized to Morwyn, At least 1 level of Ice and Lightning Affinity",,"Spend 10 minutes RPing with a group of targets and spend 1 animal component for each target. Once complete, you gain Storm Affinity (takes Bane from Forge Affinity) and your spells can deal Storm damage (damages both Fire and Earth Affinity). Additionally, all targets involved (including yourself) gain +2 Spell Proficiencies and a Spell Efficiency. Duration: 3 hours."
Barrow of the Titan,Journeyman,CRAFTING AND LABOR,Talents,7,,,"Baptized to Keld, at least 1 level of Fire and Earth Affinity",,"Spend 10 minutes RPing with a group of targets and spend 1 mineral component for each target. Once complete, you gain Forge Affinity (takes Bane from Storm Affinity). Also, choose 1 of your melee weapons to deal Forge damage (damages both Lightning and Ice Affinity). Additionally, all targets involved (including yourself) gain +1 Strength and a Steam Efficiency. Duration: 3 hours."
Barrow of the Torchbearer,Journeyman,CRAFTING AND LABOR,Talents,7,,,Baptized to Lyrana,,"Spend 10 Minutes RPing with a group of targets and 1 mineral component for each target. Once completed, you become a literal torch protecting the group with your light. For the duration, you glow (using lights or glowsticks) and you cannot use any skills or powers. Everyone else in the group becomes immune to all enemy powers as long as they remain within approximately 20 feet of you. This ritual will forcibly end if you are dropped to 0 Vaea and can be ended at will. Duration: 30 minutes."
Barrow of Unliving Enhancement,Journeyman,CRAFTING AND LABOR,Talents,7,,,Baptized to Unvaean ones,,"Spend at least 1 animal component and 1 minute RPing with an undead target. For every minute and component that you spend, the target gains 1 option of your choice from the following list. These benefits last until the drudge spell ends or 10 minutes if cast on a target that counts as an undead. The target can only benefit from 1 of each option at a time."
Curse of Crushing Breath,Journeyman,CRAFTING AND LABOR,Talents,5,,,,,"Requires a marshal. The target, whose body part/ item is being used, is affected by a Humor invading their Breath current, stopping up their Vaean currents, and causing their ribs to grow and clench their lungs. Any healing that Target receives to their Click For Table of Contents"
Curse of Dominion,Journeyman,CRAFTING AND LABOR,Talents,8,,,,,"Requires a marshal. The target, whose body part/ item is being used, is connected to a poppet or doll. Requires both you and the target to be able to communicate via walkie talkies. Three times per period you may contact the target and affect them with “Domination,” “Pain,” or a “Break Limb” of your choice (each going by the standard duration). The communication between you and the target is OOG. Lastly, the target has a small stick figure drawn on the back of 1 of their hands. This is permanent until cured. Marshal must inform the target of the curse (must tell plot if the target is an NPC)."
Curse of Elemental Ravaging,Journeyman,CRAFTING AND LABOR,Talents,8,,,,,"Requires a marshal. The target, whose body part/ item is being used, is internally filled with the element of your god. Target has a Steam and Aether deficiency of 2, -2 spell damage, -2 to healing spells, and takes bane from the Affinity opposite of your god, even if they normally immune to it. The target must RP as though they are in constant pain or discomfort. Lastly, the target has bits of the chosen element growing out of their skin. This is permanent until cured. Marshal must inform the target of the curse (must tell plot if the target is an NPC)."
Curse of Incorporeal,Journeyman,CRAFTING AND LABOR,Talents,6,,,,,"Requires a marshal. The target, whose body part/ item is being used, is cursed to become incorporeal. Target counts as incorporeal, making them immune to normal damage and physical feats. However, the target can no longer interact with anything physical. They must spend 2 Aether or Steam per minute order to interact with anything physical, including fighting with weapons that are not claws or soulbound. The target must RP as though they are lost and out of touch with the world. Lastly, the target gains a green glow about them. This is permanent until cured. Marshal must inform the target of the curse (must tell plot if the target is an NPC)."
Curse of Twisted Tongue,Journeyman,CRAFTING AND LABOR,Talents,6,,,,,"Requires a marshal. The target, whose body part/ item is being used, is cursed with gibberish. Target’s Spell Verbal is now “How much wood would a woodchuck chuck if a woodchuck could chuck….” Also, after doing a knowledge challenge or a lie skill, the target can only speak gibberish for 1 minute. The target must RP as though they are having difficulty speaking. Lastly, the target has a brand of a black swirl on the back of 1 of one hand. This is permanent until cured. Marshal must inform the target of the curse (must tell plot if the target is an NPC)."
Curse of Zombification,Journeyman,CRAFTING AND LABOR,Talents,6,,,,,"Requires a marshal. The target, whose body part/ item is being used, is cursed into a zombie like state. They are at -1 strength (can never go below normal strength), -2 melee damage (minimum 1), a constant “slowness” effect (1 swing every 5 seconds), and detect as being undead (not count as, just detect as). The target must RP as though they are very tired and that they have difficulty speaking, never able to speak louder than normal speaking tone (however, they can groan loudly). Lastly, the target’s eyes must appear to be sunken in. This is permanent until cured. Marshal must inform the target of the curse (must tell plot if the target is an NPC)."
Curse Removal,Journeyman,CRAFTING AND LABOR,Talents,5,,,Identify Curse,,"You must have identified the curse on the target for this ritual to work. Can be used on self or others. Roll a 6-sided dice. If you roll 2-5, the target is cured of the curse. If you roll 1 or 6, then the curse is removed from the target, but you now have the curse."
Eclipse Curse of Hubris,Journeyman,CRAFTING AND LABOR,Talents,6,,,,,"Requires a marshal. This requires 2 primalists to cast: 1 Solaar and 1 Lunaar. The target, whose body part/ item is being used, is cut from communication with their deity. The target cannot use any prayer ability and must spend double pool to cast divine spells. Lastly, the target has a black sun with a crescent moon inside it drawn on the back of 1 of their hands. This is permanent until cured. Marshal must inform the target of the curse (must tell plot if the target is an NPC)."
Identify Curse,Journeyman,CRAFTING AND LABOR,Talents,4,,,Enhanced Sensitivity,,"Study target for 1 minute. If the target has a curse, you can Identify what that curse is."
Sacrifice,Journeyman,CRAFTING AND LABOR,Talents,8,,,Humble Offerings,,"This must be used on a mortal or creature in their Death Count. Coup de Gras your target and then start your 1 minute of RP. Have the player sign your card as proof of the sacrifice. Characters may only be the subject of this talent from any source once per period. After 1 minute, choose 1 of the following:"
Spirit Walk,Journeyman,CRAFTING AND LABOR,Talents,7,,,,,"Primalists may enter the Astral realm. RP for 1 minute. Your body becomes incorporeal. You are immune to normal damage and physical feats. You cannot physically interact with anyone or anything. You cannot bring any items with you unless they are soulbound. You can fight with claws, soulbound weapons, and also interact with the material environment by spending 2 Aether or Steam per minute. This includes speaking or touching. While using spirit walk, you may interact with and teach ghosts as normal. This may be ended at will. Requires a Green Glow. Duration: 5 minutes."
Consecrate,Journeyman,CRAFTING AND LABOR,Talents,6,,,,,"(Pre-req:  Baptism to Solaarian Deity) Persistent. This blesses an area up to 10’x10’ to your deity. Those baptized to the same deity heal 1 Vaea per second while within the consecrated area. Those who are not baptized to your deity suffer 1 elemental damage per second, based off your baptismal Affinity (those baptized to Keld must choose either Fire or Earth, and may only choose one with which you have an Affinity). Requires Area Notes. Can only have 1 Consecration up at a time. Duration: 1 Period."
Hallow,Journeyman,CRAFTING AND LABOR,Talents,6,,,Baptism to Lunaarian Deity,,"Persistent. This blesses an area up to 10’x10’ to your deity. Those baptized to the same deity heal 1 Vaea per second while within the consecrated area. Those who are not baptized to your deity suffer 1 elemental damage per second, based off your baptismal Affinity (those baptized to Morwyn must choose either Ice or Lightning, and may only choose one with which you have an Affinity). Requires Area Notes. Can only have 1 Consecration up at a time. Duration: 1 Period."
Neutralize Blessing,Journeyman,CRAFTING AND LABOR,Talents,6,,,,,"(Pre-req:  Baptism to any Deity) This will remove Bless, Consecrate, Hallow, or Sanctify from an item or area."
Call Corporeal Chains,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,Target Incorporeal being becomes corporeal for 1 minute.
Detect Affinity,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,"When used, you can ask everyone within 5 feet what their"
affinities are. Call “Detect Affinity,Journeyman,CRAFTING AND LABOR,Talents,,,,,,5 feet.”
Place You Under Oath,Journeyman,CRAFTING AND LABOR,Talents,6,,5,,,"While this is active, the target must answer entirely truthfully to the best of their knowledge. This is a Greater Mental effect. You may only have up to two people affected by this at a time. Duration 5 minutes."
Restore Memory,Journeyman,CRAFTING AND LABOR,Talents,6,,5,,,"This will restore someone’s memory that was tampered with by a spell, ritual, or alchemical concoction."
Solaar Spear,Journeyman,CRAFTING AND LABOR,Talents,5,,5,Solaar Arrow,,Target takes 15 damage of the elemental damage type associated with your deity.
Unveil,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,"This removes all active and Latent Lie and Masking magical effects from the target. This will not stop a target from using the Lie feat. If target is under a physical masking effect, you can instead tell that they are masked in some way."
Bestow Sight of Nesul,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,The target of this spell is immune to “Blind” and can see invisible. Duration: 5 minutes.
Call Burning Justice,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,"If target tells a lie within 1 minute, they take 5 Light damage and suffer a “Pain” effect for 1 minute."
Call James’ Honor,Journeyman,CRAFTING AND LABOR,Talents,6,,5,,,"Target is called out to do an honor duel with you. This is a “Greater Duel Effect.” No one else can affect either you or your target. Both combatants are immune to blindness, surprise attacks, backstabs (no additional damage), and other effects that must be used from behind. The combatants must be Click For Table of Contents"
Summon Phoenix Flames,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,White-hot flames burst forth from the target. Target heals 5 Vaea. All targets within Wave distance of the target take 5 Light damage. Call “Phoenix Flames. Heal 5. Wave. 5 Light.”
Raise a Light Elemental Drudge,Journeyman,CRAFTING AND LABOR,Talents,6,,5,Raise a Radiant Defender Drudge,,"Willing Target (not in death count) is transformed into a drudge, bound to the will of the caster. Target’s current stats are overridden by the stats of this drudge, including bringing Vaea, Steam and Aether to the maximum of the Drudge. Duration: 3 hours. Once the drudge goes into second stage death count, is dispelled, or duration runs out, the target returns to their normal stats and has the same Steam and Aether from right before they were drudged but their Vaea is equal to the amount that the Drudge ended with less than the target (if the drudge is dispelled while in death count, the target starts straight in their death count). Can be dispelled by caster at will. When dispelled, the target cannot be turned into this drudge again for 1 hour. While this drudge is active, you may spend 5 seconds touching the drudge to transfer up to 5 Aether or up to 5 Steam to your drudge. A helpful chart has been created so that you can print out this list for your drudge’s convenience. While drudge is active, target cannot use any of their normal stats and are replaced with the following:"
Call a Healing Wave,Journeyman,CRAFTING AND LABOR,Talents,6,,5,,,All targets within 5 feet heal 13 Vaea.
Grant a Breath of Life,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,"This brings a target from Third Stage Death Count to 1 Vaea. This is a Life Effect, which a character may only receive one of per weekend."
Grant Paws of Abas,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,Target gains +3 Subdual Proficiencies for 1 hour. Only applies to any weapon or style that utilizes subdual profs.
Summon a Caretaker,Journeyman,CRAFTING AND LABOR,Talents,6,,5,Give a Second Chance,,A caretaker is summoned to watch over your target. Latent Spell. May be invoked anytime during the target’s 1st or 2nd stage death count. Target is healed for 5 Vaea.
Raise a Spirit Elemental Drudge,Journeyman,CRAFTING AND LABOR,Talents,6,,5,Raise an Echo Drudge,,"Willing Target (not in death count) is transformed into a drudge, bound to the will of the caster. Target’s current stats are overridden by the stats of this drudge, including bringing Steam and Aether from right before they were drudged but their Vaea is equal to the amount that the Drudge ended with less than the target (if the drudge is dispelled while in death count, the target starts straight in their death count). Duration: 3 hours. Once the drudge goes into second stage death count, is dispelled, or duration runs out, the target returns to their normal stats and has the same Vaea, Steam, and Aether from right before they were drudged. Can be dispelled by caster at will. When dispelled, the target cannot be turned into this drudge again for 1 hour. While this drudge is active, you may spend 5 seconds touching the drudge to transfer up to 5 Aether or up to 5 Steam to your drudge. A helpful chart has been created so that you can print out this list for your drudge’s convenience. While drudge is active, target cannot use any of their normal stats and are replaced with the following: Spirit Elemental Drudge Stats: Vaea: 30 Pool: Aether: 10. Steam: 5. Affinity Level: Spirit Affinity Level: 5. Fighting Style: Long Claws: 5 Spirit. Profs: Spell Profs: +5. Long Claw Profs: 1. You naturally count as having a novice spell focus without actually needing one. *Choose 1 Spells, 1 Feat, 1 novice passives, 1 apprentice passives, and 1 journeyman passive that the drudged character knows. You can use it for the normal cost. Skills: Deflect, fireball, Channeling, Cause Regret, Arcane Nova, Illuminate. Custom Skill: Level 5 Spirit Elemental: You’re a level 5 Spirit Elemental, gaining all of the benefits and detriments (the extra +2 for melee damage has been added in but spell damage hasn’t been added). You cannot in any way be destroyed to give affinity shards. Spirit: Essence. You can permanently see and hear spirits. Once per weekend, you can grant 1 target a life effect for no cost. Dual Typing: You count as both an Aether Creature AND a Heal-ling for beneficial and Detrimental Effects. Spell Verbal: “Casting 1, Casting 2, Casting 3…”"
Call Strength of the Forge,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,Target gains +1 Strength for 15 minutes.
Grant Titan’s Steam,Journeyman,CRAFTING AND LABOR,Talents,6,,5,,,Self only. You gain an efficiency of 2 for 15 minutes for Defensive feats only.
Restore Item,Journeyman,CRAFTING AND LABOR,Talents,6,,5,Mend Item,,This will completely repair a single broken item of journeyman and lower.
Turn Trash to Treasure,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,Self only. Can only be done while crafting. You may change 1 component that is being used into any component type and increase 1 rarity level to fulfill the requirement of the item being crafted.
Raise a Fire/Earth Elemental Drudge,Journeyman,CRAFTING AND LABOR,Talents,6,,5,Raise a Golem Drudge,,"Willing Target (not in death count) is transformed into a drudge, bound to the will of the caster. Choose Between Fire Elemental or Earth Click For Table of Contents"
Dominate Aether Creature,Journeyman,CRAFTING AND LABOR,Talents,5,,4,Divine Neutrality,,Target Aether Creature is affected by “Domination” and must follow any of your orders to the best of their ability for 15 minutes. Call “Dominate Aether Creature. 15 Minutes”
Grant a Time Delay,Journeyman,CRAFTING AND LABOR,Talents,5,,4,Spell Delay,,Latent. Cast on Target. Target may invoke “Time Delay” when affected by any power or effect to delay that power or effect for 1 minute (including AoEs).
Negation,Journeyman,CRAFTING AND LABOR,Talents,6,,5,Spell Delay,,Latent. Cast on Target. Target may invoke this when affected by a spell (including AOEs). Spell is defended against.
Summon a Temporal Field,Journeyman,CRAFTING AND LABOR,Talents,6,,5,,,"Concentration Effect. Within 5 feet of the caster, bullets may be defended against as normal ranged attacks and “speed” cannot be used."
Raise a Magic Elemental Drudge,Journeyman,CRAFTING AND LABOR,Talents,6,,5,Raise a Warp Devil Drudge,,"Willing Target (not in death count) is transformed into a drudge, bound to the will of the caster. Target’s current stats are overridden by the Click For Table of Contents"
Call Lafonza’s Dew,Journeyman,CRAFTING AND LABOR,Talents,6,,5,Sense Disease and Poison,,Latent Defense. Cast on target. Target can invoke this spell to defend against a Humor. You may only have 1 of this spell on you at a time.
Dominate Nature,Journeyman,CRAFTING AND LABOR,Talents,5,,4,Divine Neutrality,,Target Nature Creature is affected by “Domination” and must follow any of your orders to the best of their ability for 15 mins. Call “Dominate Nature. 15 Mins”
Summon Ashrendar’s Poison,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,Target is affected by “Incapacitate” for 5 mins. This counts as a biological sleep Poison. Call “Ashrendar’s Poison. Bio. Incapacitate. 5 mins.”
Summon Nature’s Ally,Journeyman,CRAFTING AND LABOR,Talents,5,,4,Divine Neutrality,,Target counts as a Nature Being for beneficial effects for 15 mins.
Raise a Nature Elemental Drudge,Journeyman,CRAFTING AND LABOR,Talents,6,,5,Raise a Dire Wolf Drudge,,"Willing Target (not in death count) is transformed into a drudge, bound to the will of the caster. Target’s current stats are overridden by the stats of this drudge, including bringing Vaea, Steam and Aether to the maximum of the Drudge. Duration: 3 hours. Once the drudge goes into second stage death count, is dispelled, or duration runs out, the target returns to their normal stats and has the same Steam and Aether from right before they were drudged but their Vaea is equal to the amount that the Drudge ended with less than the target (if the drudge is dispelled while in death count, the target starts straight in their Click For Table of Contents"
Lunaar Lash,Journeyman,CRAFTING AND LABOR,Talents,5,,5,Lunaar Ray,,Target takes 15 damage of the elemental damage type associated with your deity.
Maim,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,"For 1 minute, target is affected by “Hamstring” (may only move Heel to Toe) and takes 1 damage per step. Call “Maim. Hamstring. 1 damage per step. 1 minute.”"
Mask Affinity,Journeyman,CRAFTING AND LABOR,Talents,5,,4,Mask Faith,,Self Only. This will mask your Affinity for 5 minutes. You choose what Affinity you detect as.
Offer a Humble Sacrifice,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,Target in Second Stage Death Count is immediately put into Third Stage Death Count. This counts as a Killing Blow. This spell must be called loudly.
Sacrifice Soul,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,Self only. Choose either Aether or Steam. That pool takes damage instead of your Vaea pool. Duration 1 minute.
Siphon Strength,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,"Target has -1 Strength and you gain +1 Strength. If target has only normal strength, this spell fails. Duration: 5 minutes."
Cause Hatred,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,"All targets effected by this spell are “taunted” to attack each other for 30 seconds. If only 1 target is affected, you can choose anyone else within eyesight. Mental Attack. Call “Cause Hatred. Arc. Taunt to each other. Mind. 30 Seconds.”"
Incriminate,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,Target counts as though they are lying for truth detections. Duration: 15 mins.
Mask Race,Journeyman,CRAFTING AND LABOR,Talents,6,,5,Mask Faith,,"Self Only. This will allow you to look like any other race, not human. Requires costuming and makeup. Duration 1 hour."
Strip Your Faith,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,"Target loses the ability to use 1 divine spell for 5 mins and you gain use of it for that time, at normal casting cost. You must call out the spell that you are targeting. This will fail if target does not have that spell. Call “Strip your Faith. (Spell) Cannot use for 5 mins.”"
Raise a Dark Elemental Drudge,Journeyman,CRAFTING AND LABOR,Talents,6,,5,Raise a Shade Drudge,,"Willing Target (not in death count) is transformed into a drudge, bound to the will of the caster. Target’s current stats are overridden by the stats of this drudge, including bringing Vaea, Steam and Aether to the maximum of the Drudge. Duration: 3 hours. Once the drudge goes into second stage death count, is dispelled, or duration runs out, the target returns to their normal stats and has the same Steam and Aether from right before they were drudged but their Vaea is equal to the amount that the Drudge ended with less than the target (if the drudge is dispelled while in death count, the target starts straight in their death count). When dispelled, the target cannot be turned into this drudge again for 1 hour. While this drudge is active, you may spend 5 seconds touching the drudge to transfer up to 5 Aether or up to 5 Steam to your drudge. A helpful chart has been created so that you can print out this list for your drudge’s convenience. While drudge is active, target cannot use any of their normal stats and are replaced with the following:"
Ensure Your Death,Journeyman,CRAFTING AND LABOR,Talents,5,,4,Ensure Death’s Vigil,,Target’s Vaea cannot be healed for 5 minutes. Includes regeneration abilities.
Grant Damian’s Vigilance,Journeyman,CRAFTING AND LABOR,Talents,6,,5,,,"Self only. Latent. Can be invoked in reaction to being affected by any attack. That attack fails, and you are under the effects of “Imprisonment” for 1 minute. You can’t act or be affected by anything during it."
Instill Balasar’s Wrath,Journeyman,CRAFTING AND LABOR,Talents,6,,5,Enact Karmic Backlash,,"For the next 15 seconds, any numerical damage dealt by the target will be taken by them as direct Grim damage."
Pass Elaan’s Judgement,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,"Bolt spell. Call any Power. If the target uses that power in the next 5 minutes, they are affected by “Power Ineptitude” (affecting all powers) for 1 minute."
Raise a Grim Elemental Drudge,Journeyman,CRAFTING AND LABOR,Talents,6,,5,Raise an Ashen Drudge,,"Willing Target (not in death count) is transformed into a drudge, bound to the will of the caster. Target’s current stats are overridden by the stats of this drudge, including bringing Vaea, Steam and Aether to the maximum of the Drudge. Duration: 3 hours. Once the drudge goes into second stage death count, is dispelled, or duration runs out, the target returns to their normal stats and has the same Steam and Aether from right before they were drudged but their Vaea is equal to the amount that the Drudge ended with less than the target (if the drudge is dispelled while in death count, the target starts straight in their death count). When dispelled, the target cannot be turned into this drudge again for 1 hour. While this drudge is active, you may spend 5 seconds touching the drudge to transfer up to 5 Aether or up to 5 Steam to your drudge. A helpful chart has been created so that you can print out this list for your drudge’s convenience. While drudge is active, target cannot use any of their normal stats and are replaced with the following:"
Call a Harm Strike,Journeyman,CRAFTING AND LABOR,Talents,6,,5,,,Target takes 5 Recurring damage. Target takes 5 damage every 10 seconds until healed (any amount of healing). Call “Harm Strike. 5 Recurring.”
Call Brettorus’ Armor,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,Target gains +2 Natural Armor/15 mins
Compel You to Stand and Fight,Journeyman,CRAFTING AND LABOR,Talents,5,,4,Channeling or Primal Mark of Nature,,This must be weapon-cast. You and the target are pinned for 1 min and immune to knockback.
Give Gulbrandr’s Rage,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,"Target is affected by a Mind Effect. If successful, the target makes a wave attack that is defended against as a physical melee AOE."
Raise an Ice/Lightning Elemental Drudge,Journeyman,CRAFTING AND LABOR,Talents,6,,5,Raise a Dullahan Drudge,,"Willing Target (not in death count) is transformed into a drudge, bound to the will of the caster. Target’s current stats are overridden by the stats of this drudge, including bringing Vaea, Steam and Aether to the maximum of the Drudge. Duration: 3 hours. Once the drudge goes into second stage death count, is dispelled, or duration runs out, the target returns to their normal stats and has the same Steam and Aether from right before they were drudged but their Vaea is equal to the amount that the Drudge ended with less than the target (if the drudge is dispelled while in death count, the target starts straight in their death count). When dispelled, the target cannot be turned into this drudge again for 1 hour. While this drudge is active, you may spend 5 seconds touching the drudge to transfer up to 5 Aether or up to 5 Steam to your drudge. A helpful chart has been created so that you can print out this list for your drudge’s convenience. While drudge is active, target cannot use any of their normal stats and are replaced with the following:"
Do the Shoelace Trick,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,Trip Wave. Does not affect those “Ready to Party.” Call “Shoelace Trick. Wave Trip.”
Induce Panic,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,Terror Bomb. 1 minute. Does not affect those “Ready to Party.” Call “Induce Panic. Terror Bomb.1 minute.”
Make a Lucky Guess,Journeyman,CRAFTING AND LABOR,Talents,5,,4,Any Knowledge,,"Latent. During a knowledge call, this may be invoked. You declare an applicable knowledge that you know and rolls a D6 die (the player is responsible for providing the die). That number overrides the number of profs, including the original knowledge, already known for that call. (Ex: Roll a three, has Knowledge: Alchemy 3) If you roll a 6, you gain no info, but get to make up a lucky guess!"
Open Sesame,Journeyman,CRAFTING AND LABOR,Talents,6,,5,,,"Has a chance of instantly unlocking a lock of any tier. Flip a coin. Call heads or tails. If the coin lands with your chosen side up, then the lock is instantly unlocked. If the other side comes up, the lock increases by 1 level of difficulty. Can only be used once per lock. Alternatively, this can instantly unlock an arcane lock without a coin flip."
Raise a Chaos Elemental Drudge,Journeyman,CRAFTING AND LABOR,Talents,6,,5,Raise a Mimic Drudge,,"Willing Target (not in death count) is transformed into a drudge, bound to the will of the caster. Target’s current stats are overridden by the stats of this drudge, including bringing Vaea, Steam and Aether to the maximum of the Drudge. Duration: 3 hours. Once the drudge goes into second stage death count, is dispelled, or duration runs out, the target returns to their normal stats and has the same Steam and Aether from right before they were drudged but their Vaea is equal to the amount that the Drudge ended with less than the target (if the drudge is dispelled while in death count, the target starts straight in their death count). When dispelled, the target cannot be turned into this drudge again for 1 hour. While this drudge is active, you may spend 5 seconds touching the drudge to transfer up to 5 Aether or up to 5 Steam to your drudge. A helpful chart has been created so that you can print out this list for your drudge’s convenience. While drudge is active, target cannot use any of their normal stats and are replaced with the following:"
Cast Strength of Bone,Journeyman,CRAFTING AND LABOR,Talents,5,,6,,,"Target Undead creature gains +2 Strength, +2 Damage, and +2 Natural Armor for 1 hour. Click For Table of Contents"
Dominate Unnatural Being,Journeyman,CRAFTING AND LABOR,Talents,5,,4,Divine Neutrality,,Target Undead or Aberration is affected by “Domination” and must follow any of your orders to the best of their ability for 15 minutes. Call “Dominate Unnatural. 15 Minutes”
Explode Corpse,Journeyman,CRAFTING AND LABOR,Talents,7,,6,,,Strike Target drudge under your control. The drudge does half their current Vaea (rounded down) as Vile Damage as a Wave AOE Spell to all targets in the Wave AOE. The Drudge is immediately dispelled and the target drops into whatever stage they were in in their death count (or immediately into their first stage death count if they weren’t drudged from their death count).
Poison You with Ineptitude,Journeyman,CRAFTING AND LABOR,Talents,5,,4,,,The target of this spell can’t use Feats for 1 minute. Call “Poison you with Ineptitude. Feats. 1 minute.”
Raise Mummy Drudge,Journeyman,CRAFTING AND LABOR,Talents,6,,5,Raise Skeleton drudge,,"Target in any stage of their Death Count or dead is raised as an undead mindless drudge, bound to the will of the caster. Target’s Death Count is paused until drudge ends. Duration: 3 hours. Once Mummy dies, it cannot be raised again in this way. Can be dispelled at will by caster. While drudge is active, target cannot use their normal stats and are replaced with the following:"
Acupressure,Journeyman,CRAFTING AND LABOR,Talents,6,,,Pugilist and either First Aid or Vitality Infusion,,You may now apply your pugilist profs and master profs to First Aid and Vitality Infusion (maximum remains unchanged).
Autopsy,Journeyman,CRAFTING AND LABOR,Talents,4,,,Investigate and Knowledge: Medicine,,"When you use “Investigate” on a corpse, you may ask additional questions about the body, cause of death, or similar detail equal to your knowledge level in Medicine [Anatomy]."
Cadaver Studies,Journeyman,CRAFTING AND LABOR,Talents,4,,,Dissection Knife and Knowledge: Medicine at level 3,,"Your “Dissect Components” yields +1 appropriate common component, which stacks with the benefit from “Dissection Knife.” The rarity of this bonus component cannot be raised unless also using a small weapon with the Vivisection Knife property."
Detoxify,Journeyman,CRAFTING AND LABOR,Talents,4,,,Bloodlet,,"When using bloodlet, you cure the target of all poison effects."
Doctor’s Assistant,Journeyman,CRAFTING AND LABOR,Talents,7,,,Medic,,"Choose 1 target and pick 1 of the Academic healing talents that you know. If you are roleplaying with the target and actively talking them through it, that target can use that talent. This can be done while you are using a talent. The Target must remain within 10 feet of you to use your talent."
Humor Immunity,Journeyman,CRAFTING AND LABOR,Talents,5,,,Treat Humor,1,Choose 1 Humor from the following list: • Scarlet Fever
Physician’s Composure,Journeyman,CRAFTING AND LABOR,Talents,6,,,,,You can now use Meditate or Rally while performing Academic healing talents. This Meditate or Rally can only benefit yourself.
Plague Doctor,Journeyman,CRAFTING AND LABOR,Talents,6,,,Treat Humor,,Your Treat Humor ability now takes 5 minutes and no longer has a chance to inflict you with the Humor that you cure.
Rapid Response,Journeyman,CRAFTING AND LABOR,Talents,4,,,First Aid,,on targets in their 1st or 2nd Stage Death Count.
Sanitation and Hygiene,Journeyman,CRAFTING AND LABOR,Talents,6,,,Intensive Care and Knowledge: Medicine at level 3,,Your Intensive Care now grants +healing equal to your level of Knowledge: Medicine (focuses do not apply).
Trauma Treatment,Journeyman,CRAFTING AND LABOR,Talents,8,,,Medic and Multi-Tasker,,You can now use Academic healing talents on 2 targets at the same time. It must be the same talent and it may only be one talent at a time.
Cure Addiction,Journeyman,CRAFTING AND LABOR,Talents,8,,,Treat Withdrawal,,Spend 10 minutes treating a target with an Addiction. Target’s Addiction is cured.
